Associated Bank  National Association,Green Bay,WI,54301,6/30/16,N,28942051,25645657,102220,20095533,404962,52189,716619,1845,2575,4361,34
Astoria Bank,Long Island City,NY,11103,6/30/16,SA,14916679,13072927,42672,10843805,7476,8086,114440,322,295,0,0
Astra Bank,Scandia,KS,66966,6/30/16,NM,265807,238512,1935,171076,5031,5740,19449,204,103,40886,431
Atascosa National Bank,Pleasanton,TX,78064,6/30/16,N,91636,84419,162,13617,1105,1007,4787,27,23,1678,28
Athens Federal Community Bank National Association,Athens,TN,37303,6/30/16,N,412584,363776,1503,282851,15117,3564,28806,120,123,1940,16
Athens State Bank,Athens,IL,62613,6/30/16,NM,127914,113817,853,76364,9873,2124,9796,86,53,4967,62
Athol Savings Bank,Athol,MA,1331,6/30/16,SB,378315,325814,1032,242493,20811,2303,9296,91,54,335,1
Atkins Savings Bank and Trust,Atkins,IA,52206,6/30/16,NM,80885,70413,642,51110,2852,9288,0,225,0,21761,262
Atlantic Capital Bank  National Association,Chattanooga,TN,37402,6/30/16,N,2806844,2466305,9185,1971197,29788,8420,208531,346,706,1000,12
Atlantic Coast Bank,Jacksonville,FL,32256,6/30/16,SA,919275,838156,2970,766649,44363,2098,44035,83,199,0,0
Atlantic Community Bank,Bluffton,SC,29910,6/30/16,NM,81153,71165,213,65378,513,1153,16862,50,62,0,0
Atlantic National Bank,Brunswick,GA,31520,6/30/16,N,168312,151059,804,102542,2000,2954,17562,111,75,0,0
Atlantic Stewardship Bank,Midland Park,NJ,7432,6/30/16,NM,740201,669616,2948,538194,521,4395,133719,144,423,0,0
Atlantic Trust Company  National Association,Atlanta,GA,30309,6/30/16,N,187364,37975,5077,0,0,0,0,0,0,0,0
Auburn Banking Company,Auburn,KY,42206,6/30/16,NM,76756,70420,684,51908,4741,3404,7686,151,41,10869,156
Auburn Savings Bank  FSB,Auburn,ME,4210,6/30/16,SA,70561,64228,157,62474,251,2211,5974,165,29,2151,8
